id,type,format,identifier,references,created,creator,publisher,license,rightsHolder,catalogNumber
31930820,StillImage,image/jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/50027543/original.jpeg,https://www.inaturalist.org/photos/50027543,2019-09-01T16:46:48-07:00,Paul Braun,iNaturalist,http://creativecommons.org/publicdomain/zero/1.0/,Paul Braun,50027543
31930822,StillImage,image/jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/50027561/original.jpg,https://www.inaturalist.org/photos/50027561,2019-09-01T16:13:12Z,Steven Lamonde,iNaturalist,http://creativecommons.org/licenses/by-nc/4.0/,Steven Lamonde,50027561
31930823,StillImage,image/jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/50027549/original.jpg,https://www.inaturalist.org/photos/50027549,2019-09-01T16:29:55Z,Amber Jones,iNaturalist,http://creativecommons.org/licenses/by-nc/4.0/,Amber Jones,50027549
31930827,StillImage,image/jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/50027483/original.jpeg,https://www.inaturalist.org/photos/50027483,2019-09-01T08:54:03-07:00,Ron Stephens,iNaturalist,http://creativecommons.org/licenses/by-nc/4.0/,Ron Stephens,50027483
31930827,StillImage,image/jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/50027791/original.jpeg,https://www.inaturalist.org/photos/50027791,2019-09-01T08:53:59-07:00,Ron Stephens,iNaturalist,http://creativecommons.org/licenses/by-nc/4.0/,Ron Stephens,50027791
31930827,StillImage,image/jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/50028206/original.jpeg,https://www.inaturalist.org/photos/50028206,2019-09-01T08:54:10-07:00,Ron Stephens,iNaturalist,http://creativecommons.org/licenses/by-nc/4.0/,Ron Stephens,50028206
31930828,StillImage,image/jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/50027550/original.jpg,https://www.inaturalist.org/photos/50027550,2019-08-31T20:15:52Z,wipferjr320,iNaturalist,http://creativecommons.org/licenses/by-nc/4.0/,wipferjr320,50027550
31930831,StillImage,image/jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/50027603/original.jpeg,https://www.inaturalist.org/photos/50027603,2019-08-31T19:04:50-07:00,Nicola Gilio,iNaturalist,http://creativecommons.org/licenses/by-nc/4.0/,Nicola Gilio,50027603
31930842,StillImage,image/jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/50027552/original.jpg,https://www.inaturalist.org/photos/50027552,2017-04-13T10:38:31Z,abazaba667,iNaturalist,http://creativecommons.org/licenses/by-nc/4.0/,abazaba667,50027552
31930854,StillImage,image/jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/50027575/original.jpeg,https://www.inaturalist.org/photos/50027575,2019-09-01T17:16:06-07:00,Paul Braun,iNaturalist,http://creativecommons.org/publicdomain/zero/1.0/,Paul Braun,50027575
31930854,StillImage,image/jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/50027589/original.jpg,https://www.inaturalist.org/photos/50027589,2019-09-01T17:15:55-07:00,Paul Braun,iNaturalist,http://creativecommons.org/publicdomain/zero/1.0/,Paul Braun,50027589
31930854,StillImage,image/jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/50027615/original.jpeg,https://www.inaturalist.org/photos/50027615,2019-09-01T17:16:32-07:00,Paul Braun,iNaturalist,http://creativecommons.org/publicdomain/zero/1.0/,Paul Braun,50027615
31930854,StillImage,image/jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/50027637/original.jpeg,https://www.inaturalist.org/photos/50027637,2019-09-01T17:16:06-07:00,Paul Braun,iNaturalist,http://creativecommons.org/publicdomain/zero/1.0/,Paul Braun,50027637
31930857,StillImage,image/jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/50027604/original.jpg,https://www.inaturalist.org/photos/50027604,2019-09-01T16:13:36Z,Steven Lamonde,iNaturalist,http://creativecommons.org/licenses/by-nc/4.0/,Steven Lamonde,50027604
31930862,StillImage,image/jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/50027587/original.jpg,https://www.inaturalist.org/photos/50027587,2019-09-01T15:34:39Z,terence zahner,iNaturalist,http://creativecommons.org/licenses/by-nc/4.0/,terence zahner,50027587
31930871,StillImage,image/jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/50027596/original.jpg,https://www.inaturalist.org/photos/50027596,2019-09-01T18:01:04Z,sshort4,iNaturalist,http://creativecommons.org/licenses/by-nc/4.0/,sshort4,50027596
31930871,StillImage,image/jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/50027621/original.jpg,https://www.inaturalist.org/photos/50027621,2019-09-01T18:01:04Z,sshort4,iNaturalist,http://creativecommons.org/licenses/by-nc/4.0/,sshort4,50027621
