id,scientificName,taxonRank,kingdom,phylum,classs,order,family,genus,identifier
31930842,Haliaeetus leucocephalus,species,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Haliaeetus,https://inaturalist-open-data.s3.amazonaws.com/photos/50027552/original.jpg
31931001,Ptilopsis granti,species,Animalia,Chordata,Aves,Strigiformes,Strigidae,Ptilopsis,https://inaturalist-open-data.s3.amazonaws.com/photos/50028369/original.jpeg
31931015,Branta canadensis,species,Animalia,Chordata,Aves,Anseriformes,Anatidae,Branta,https://inaturalist-open-data.s3.amazonaws.com/photos/50027590/original.jpeg
31931016,Melospiza lincolnii,species,Animalia,Chordata,Aves,Passeriformes,Passerellidae,Melospiza,https://inaturalist-open-data.s3.amazonaws.com/photos/50027610/original.jpeg
31931017,Vireo gilvus,species,Animalia,Chordata,Aves,Passeriformes,Vireonidae,Vireo,https://inaturalist-open-data.s3.amazonaws.com/photos/50027634/original.jpeg
31931039,Catharus ustulatus,species,Animalia,Chordata,Aves,Passeriformes,Turdidae,Catharus,https://inaturalist-open-data.s3.amazonaws.com/photos/50027723/original.jpg
31931039,Catharus ustulatus,species,Animalia,Chordata,Aves,Passeriformes,Turdidae,Catharus,https://inaturalist-open-data.s3.amazonaws.com/photos/50027730/original.jpg
31931154,Columba palumbus,species,Animalia,Chordata,Aves,Columbiformes,Columbidae,Columba,https://inaturalist-open-data.s3.amazonaws.com/photos/50028005/original.jpg
31931154,Columba palumbus,species,Animalia,Chordata,Aves,Columbiformes,Columbidae,Columba,https://inaturalist-open-data.s3.amazonaws.com/photos/50028016/original.jpg
31931199,Cisticola chiniana,species,Animalia,Chordata,Aves,Passeriformes,Cisticolidae,Cisticola,https://inaturalist-open-data.s3.amazonaws.com/photos/50024061/original.jpeg
31931199,Cisticola chiniana,species,Animalia,Chordata,Aves,Passeriformes,Cisticolidae,Cisticola,https://inaturalist-open-data.s3.amazonaws.com/photos/50024058/original.jpeg
31931199,Cisticola chiniana,species,Animalia,Chordata,Aves,Passeriformes,Cisticolidae,Cisticola,https://inaturalist-open-data.s3.amazonaws.com/photos/50024131/original.jpeg
31931199,Cisticola chiniana,species,Animalia,Chordata,Aves,Passeriformes,Cisticolidae,Cisticola,https://inaturalist-open-data.s3.amazonaws.com/photos/50024162/original.jpeg
31931199,Cisticola chiniana,species,Animalia,Chordata,Aves,Passeriformes,Cisticolidae,Cisticola,https://inaturalist-open-data.s3.amazonaws.com/photos/50024187/original.jpeg
31931199,Cisticola chiniana,species,Animalia,Chordata,Aves,Passeriformes,Cisticolidae,Cisticola,https://inaturalist-open-data.s3.amazonaws.com/photos/50024255/original.jpeg
31931199,Cisticola chiniana,species,Animalia,Chordata,Aves,Passeriformes,Cisticolidae,Cisticola,https://inaturalist-open-data.s3.amazonaws.com/photos/50024253/original.jpeg
31931214,Lamprotornis nitens,species,Animalia,Chordata,Aves,Passeriformes,Sturnidae,Lamprotornis,https://inaturalist-open-data.s3.amazonaws.com/photos/50024293/original.jpeg
31931445,Zenaida macroura,species,Animalia,Chordata,Aves,Columbiformes,Columbidae,Zenaida,https://inaturalist-open-data.s3.amazonaws.com/photos/50028289/original.jpg
31931445,Zenaida macroura,species,Animalia,Chordata,Aves,Columbiformes,Columbidae,Zenaida,https://inaturalist-open-data.s3.amazonaws.com/photos/50028272/original.jpg
31931569,Alcelaphus buselaphus lichtensteinii,subspecies,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Alcelaphus,https://inaturalist-open-data.s3.amazonaws.com/photos/50029166/original.jpeg
31931716,Tringa solitaria,species,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Tringa,https://inaturalist-open-data.s3.amazonaws.com/photos/50028719/original.jpeg
