id,scientificName,taxonRank,kingdom,phylum,classs,order,family,genus,identifier
31931569,Alcelaphus buselaphus lichtensteinii,subspecies,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Alcelaphus,https://inaturalist-open-data.s3.amazonaws.com/photos/50029166/original.jpeg
159654125,Neomys fodiens,species,Animalia,Chordata,Mammalia,Eulipotyphla,Soricidae,Neomys,https://inaturalist-open-data.s3.amazonaws.com/photos/275852056/original.jpeg
31931884,Sciurus niger,species,Animalia,Chordata,Mammalia,Rodentia,Sciuridae,Sciurus,https://inaturalist-open-data.s3.amazonaws.com/photos/50028972/original.jpeg
159654128,Mephitis mephitis,species,Animalia,Chordata,Mammalia,Carnivora,Mephitidae,Mephitis,https://inaturalist-open-data.s3.amazonaws.com/photos/275851526/original.jpg
31931925,Muntiacus vaginalis,species,Animalia,Chordata,Mammalia,Artiodactyla,Cervidae,Muntiacus,https://inaturalist-open-data.s3.amazonaws.com/photos/50028314/original.jpg
31931925,Muntiacus vaginalis,species,Animalia,Chordata,Mammalia,Artiodactyla,Cervidae,Muntiacus,https://inaturalist-open-data.s3.amazonaws.com/photos/50028406/original.jpg
31931925,Muntiacus vaginalis,species,Animalia,Chordata,Mammalia,Artiodactyla,Cervidae,Muntiacus,https://inaturalist-open-data.s3.amazonaws.com/photos/50028515/original.jpg
31931926,Bos gaurus,species,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Bos,https://inaturalist-open-data.s3.amazonaws.com/photos/50028326/original.jpg
31931926,Bos gaurus,species,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Bos,https://inaturalist-open-data.s3.amazonaws.com/photos/50028415/original.jpg
31931926,Bos gaurus,species,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Bos,https://inaturalist-open-data.s3.amazonaws.com/photos/50028636/original.jpg
31931926,Bos gaurus,species,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Bos,https://inaturalist-open-data.s3.amazonaws.com/photos/50028612/original.jpg
31931926,Bos gaurus,species,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Bos,https://inaturalist-open-data.s3.amazonaws.com/photos/50028604/original.jpg
31931929,Elephas maximus indicus,subspecies,Animalia,Chordata,Mammalia,Proboscidea,Elephantidae,Elephas,https://inaturalist-open-data.s3.amazonaws.com/photos/50028339/original.jpg
31931946,Axis axis,species,Animalia,Chordata,Mammalia,Artiodactyla,Cervidae,Axis,https://inaturalist-open-data.s3.amazonaws.com/photos/50028642/original.jpg
127723274,Lepus europaeus,species,Animalia,Chordata,Mammalia,Lagomorpha,Leporidae,Lepus,https://inaturalist-open-data.s3.amazonaws.com/photos/216865643/original.jpeg
127723319,Sciurus aureogaster,species,Animalia,Chordata,Mammalia,Rodentia,Sciuridae,Sciurus,https://inaturalist-open-data.s3.amazonaws.com/photos/216865212/original.jpeg
127723319,Sciurus aureogaster,species,Animalia,Chordata,Mammalia,Rodentia,Sciuridae,Sciurus,https://inaturalist-open-data.s3.amazonaws.com/photos/216865384/original.jpeg
159654337,Tragelaphus oryx oryx,subspecies,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Tragelaphus,https://inaturalist-open-data.s3.amazonaws.com/photos/275835900/original.jpeg
159654337,Tragelaphus oryx oryx,subspecies,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Tragelaphus,https://inaturalist-open-data.s3.amazonaws.com/photos/275835909/original.jpeg
159654337,Tragelaphus oryx oryx,subspecies,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Tragelaphus,https://inaturalist-open-data.s3.amazonaws.com/photos/275835935/original.jpeg
159654339,Damaliscus pygargus pygargus,subspecies,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Damaliscus,https://inaturalist-open-data.s3.amazonaws.com/photos/275836035/original.jpeg
127723475,Capra ibex,species,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Capra,https://inaturalist-open-data.s3.amazonaws.com/photos/216866102/original.jpeg
127723552,Thyroptera discifera,species,Animalia,Chordata,Mammalia,Chiroptera,Thyropteridae,Thyroptera,https://inaturalist-open-data.s3.amazonaws.com/photos/216856370/original.jpeg
127723552,Thyroptera discifera,species,Animalia,Chordata,Mammalia,Chiroptera,Thyropteridae,Thyroptera,https://inaturalist-open-data.s3.amazonaws.com/photos/216854193/original.jpeg
127723552,Thyroptera discifera,species,Animalia,Chordata,Mammalia,Chiroptera,Thyropteridae,Thyroptera,https://inaturalist-open-data.s3.amazonaws.com/photos/216852447/original.jpeg
127723552,Thyroptera discifera,species,Animalia,Chordata,Mammalia,Chiroptera,Thyropteridae,Thyroptera,https://inaturalist-open-data.s3.amazonaws.com/photos/216859954/original.jpeg
127723552,Thyroptera discifera,species,Animalia,Chordata,Mammalia,Chiroptera,Thyropteridae,Thyroptera,https://inaturalist-open-data.s3.amazonaws.com/photos/216861555/original.jpeg
127723552,Thyroptera discifera,species,Animalia,Chordata,Mammalia,Chiroptera,Thyropteridae,Thyroptera,https://inaturalist-open-data.s3.amazonaws.com/photos/216862072/original.jpeg
127723555,Phyllostomus hastatus,species,Animalia,Chordata,Mammalia,Chiroptera,Phyllostomidae,Phyllostomus,https://inaturalist-open-data.s3.amazonaws.com/photos/216861612/original.jpeg
127723556,Phyllostomus elongatus,species,Animalia,Chordata,Mammalia,Chiroptera,Phyllostomidae,Phyllostomus,https://inaturalist-open-data.s3.amazonaws.com/photos/216863777/original.jpeg
159654592,Odocoileus hemionus,species,Animalia,Chordata,Mammalia,Artiodactyla,Cervidae,Odocoileus,https://inaturalist-open-data.s3.amazonaws.com/photos/275853000/original.jpeg
